Code armoire	Code Support	Date pose support	Forme support	Nature support	Code foyer	Date Pose Foyer	Marque Luminaire	Libellé Réf Luminaire	Puissance foyer (Watt)	Secteur foyer	Code Lampe	Type Lampe	Référence	Puissance	IRC	Type	Douille	Date pose lampe	Nom Régime	Latitude	Longitude
0013-	64100018	36087	OCTO-CONIQUE	A SAISIR	64100018	36087	PHILIPS	ROISSY R12	150	SECTEUR 1	64100018	SHP	TUBE	0100W	IR25	T22	E40	41025.54381	NOCTURNE AVEC REDUCTION VARIATEUR LUBIO (Réduction de 30 % de 23h à 6h)	45.18958024	5.715546372
0013-	64100019	36087	OCTO-CONIQUE	A SAISIR	64100019	36087	PHILIPS	ROISSY R10	120	SECTEUR 1	64100019	SHP	TUBE	0100W	IR25	T22	E40	41025.54381	NOCTURNE AVEC REDUCTION VARIATEUR LUBIO (Réduction de 30 % de 23h à 6h)	45.18968732	5.715517824
0013-	64100013	32029	OCTO-CONIQUE	ACIER GALVANISE	6410013A	32029			120	SECTEUR 1	6410013A	SHP	TUBE	0100W	IR25	T22	E40	41025.54381	NOCTURNE	45.18917495	5.715502987
0013-	64100016	32029	OCTO-CONIQUE	ACIER GALVANISE	6410016A	32029			120	SECTEUR 1	6410016A	SHP	TUBE	0100W	IR25	T22	E40	41025.54381	NOCTURNE	45.1893688	5.715548257
0013-	64100018	36087	OCTO-CONIQUE	A SAISIR	6410018A	36087	PHILIPS	ROISSY R10	420	SECTEUR 1	6410018A	SHP	TUBE	0400W	IR25	T22	E40	41025.54381	NOCTURNE AVEC REDUCTION VARIATEUR LUBIO (Réduction de 30 % de 23h à 6h)	45.18957768	5.715507446
0014-	2420C001		FACADE	POLYESTER	06000001	31533	THORN	VM2S	175	SECTEUR 1	06000001	SHP	TUBE	0150W	IR25	T22	E40	41318.46557	NOCTURNE	45.19248269	5.717430043
0014-	2420C001		FACADE	POLYESTER	06000002	31533	THORN	VM2S	175	SECTEUR 1	06000002	SHP	TUBE	0150W	IR25	T22	E40	41044.40317	NOCTURNE	45.19231143	5.717478341
0014-	0600C006		FACADE	POLYESTER	06000003	31533	THORN	VM2S	175	SECTEUR 1	06000003	SHP	TUBE	0150W	IR25	T22	E40	41044.40317	NOCTURNE	45.19210244	5.717540612
0014-	0600C006		FACADE	POLYESTER	06000004	31533	THORN	VM2S	175	SECTEUR 1	06000004	SHP	TUBE	0150W	IR25	T22	E40	41044.40317	NOCTURNE	45.1918892	5.717605692
0021-	53700001	38922	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	53700001	38922	ECLATEC	ELIPT 55	175	SECTEUR 2	53700001	SHP	TUBE	0150W	IR25	T22	E40	40674.34885	NOCTURNE	45.19148276	5.723950114
0021-	53700002	38922	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	53700002	38922	ECLATEC	ELIPT 55	175	SECTEUR 2	53700002	SHP	TUBE	0150W	IR25	T22	E40	40674.34885	NOCTURNE	45.19127075	5.724010237
0021-	53700003	38922	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	53700003	38922	ECLATEC	ELIPT 55	175	SECTEUR 2	53700003	SHP	TUBE	0150W	IR25	T22	E40	40674.34885	NOCTURNE	45.19106072	5.724069838
0021-	53700004	38922	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	53700004	38922	ECLATEC	ELIPT 55	175	SECTEUR 2	53700004	SHP	TUBE	0150W	IR25	T22	E40	40674.34885	NOCTURNE	45.19085561	5.724216132
0021-	53700005	39092	OCTO-CONIQUE	ACIER THERMOLAQUE	53700005	39092	ECLATEC	ELIPT 55	175	SECTEUR 2	53700005	SHP	TUBE	0150W	IR25	T22	E40	40674.34885	NOCTURNE	45.19070366	5.724385895
