Luminaire - Type,Luminaire - Code luminaire,Luminaire - Hauteur de feu,Luminaire - X,Luminaire - Y,Lampe - IRC,Lampe - Température Couleur,Lampe - Régime,Lampe - Régime (simplifié),Latitude,Longitude
CLASSIQUE,42800012,8,913783.86,6456814.49,25,2000,GRE NOCTURNE,Fonctionnement standard,45.177468998825034,5.722175207172504
CLASSIQUE,42800013,8,913765.34,6456836.99,25,2000,GRE NOCTURNE,Fonctionnement standard,45.177677219292164,5.721949445264064
CLASSIQUE,42800014,8,913737.31,6456872.83,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17800843422603,5.721608535314903
CLASSIQUE,42800015,8,913719.37,6456897.25,25,2000,GRE NOCTURNE,Fonctionnement standard,45.178233751326914,5.72139099094193
CLASSIQUE,42800016,8,913703.1,6456921.16,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17845396052795,5.721194469265002
CLASSIQUE,42800017,8,913687.27,6456946.25,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17868465149135,5.72100406194828
CLASSIQUE,42800018,8,913672.16,6456971.29,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17891466886076,5.720822792089341
CLASSIQUE,42800019,8,913657.31,6456998.1,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17916053319517,5.720645605134829
CLASSIQUE,42800020,8,913644.46,6457022.61,25,2000,GRE NOCTURNE,Fonctionnement standard,45.179385079682795,5.720492855313345
LED,42800021,4,913870.39,6456746.44,70,3000,CREM NOCTURNE AVEC REDUCTION 33% flux - 33 % NRJ en milieu de nuit (LED),Abaissement en milieu de nuit,45.17682977077548,5.72324627487028
LED,42800022,4,913868.23,6456766.09,70,3000,CREM NOCTURNE AVEC REDUCTION 33% flux - 33 % NRJ en milieu de nuit (LED),Abaissement en milieu de nuit,45.177007267712824,5.723227418654264
CLASSIQUE,42800023,4,913896.21,6456769.29,87,2900,GRE NOCTURNE,Fonctionnement standard,45.1770273763315,5.7235848160305896
CLASSIQUE,42800024,4,913890.11,6456804.44,87,2900,GRE NOCTURNE,Fonctionnement standard,45.177345578041965,5.723522636306466
